id,title,album,artist_name,genre,year,length,bitrate,lyrics,album_id,artist_id
14077,I Still Do,Black Rose,Tyrese,R&B,2015,248044,320000,,924,564
14078,Falling In Love Again,Blackstreet,Blackstreet,R&B,1994,274442,188304,,688,482
14079,"Hit 'Em Hard (ft Bobby Schmurda, Skeme and Freddie Gibbs)",Blood Moon Year Of The Wolf,The Game,Hip-Hop,2014,283332,320000,,347,275
14080,Goner,Blurryface,Twenty One Pilots,Indie Pop,2015,236799,256000,,1204,2640
14081,Goner,Blurryface,Twenty One Pilots,Pop,2015,236799,256000,,1204,2640
14082,The Boss Is Hanging Out A Rainbow,"Bob Nolan, archive.org",Bob Nolan,Oldies,1955,150293,128000,,435,395
14083,Lights Down Low,Bobby Valentino,Bobby V,R&B,2005,286458,320000,,691,483
14084,Mutilated Mind,BombShell,Hydrogyn,Rock,2006,193081,192000,,1002,592
14085,Crooked Smile,Born Sinner,J. Cole,Hip-Hop,2013,278648,320000,,250,231
14086,Crooked Smile (ft TLC),Born Sinner (Deluxe Version),J. Cole,Hip-Hop,2013,279916,320000,,251,231
14087,Lolita,Born to Die (Deluxe Version),Lana Del Rey,Alternative Rock,2012,220055,320000,,42,17
14088,"I Dedicate, Pt. 3",Brandy,Brandy,R&B,1994,61936,320000,,698,486
14089,Perfect So Far (Bonus Track),Braveheart (Deluxe Edition),Ashanti,R&B,2014,291056,320000,,665,472
14090,Perfect So Far (Bonus Track),Braveheart (Deluxe Edition),Ashanti,R&B,2014,291056,320000,,665,472
14091,Maybe We're Already Gone,Break the Spell (Deluxe Version),Daughtry,Rock,2011,261799,320000,,985,419
14092,Someday [Bonus Track],Breakout,Miley Cyrus,Pop,2008,184162,320000,,560,444
14093,Jasmine Flower,Breathless,Kenny G,R&B,1992,278160,192000,,798,314
14094,Jasmine Flower,Breathless,Kenny G,R&B,1992,278160,192000,,798,314
14095,Honey (Def Club Mix) [Bonus Track],Butterfly,Mariah Carey,R&B,1997,379072,320000,,821,535
14096,Power,Cartality,Lil Wayne,Hip-Hop,2015,241026,256000,,281,238
14097,Borderline,Celebration (Deluxe),Madonna,Pop,2009,238372,320000,,525,441
14098,Nothing But My Heart,Celine Dion,Celine Dion,R&B,1992,356058,192000,,725,490
14099,Benjamin,C'est Pour Vivre,Celine Dion,R&B,1997,276125,160000,,724,490
14100,Sunflowers for Alfred Roy,Charmbracelet,Mariah Carey,R&B,2002,180435,320000,,822,535
14101,Run It! (Remix) (feat. Bow Wow & Jermaine Dupri),Chris Brown,Chris Brown,R&B,2005,244088,320000,,746,53
14102,Yatima,Cinderella,Alikiba,Swahili,2009,324675,192000,,1190,2519
14103,Breakn' A Sweat (Skrillex & The Doors) (Zedd Remix),Clarity,Zedd,Electronic Rock,2013,274259,320000,,153,145
14104,Shocker (ft DJ Punish),"Club Life, Vol. 3 Stockholm",Tiësto,Electronic,2013,314618,320000,,151,155
14105,You Make Me Fee,Coast to Coast,Westlife,R&B,2000,221793,160000,,932,572
14106,My Blue Tears (Acoustic Demo),Coat of Many Colors,Dolly Parton,Country,1971,144744,193846,,67,31
14107,Ethiopia Mi Home,Coco Tea (1991 - 2001),Coco Tea,Reggaeton,1991,242081,128000,,1205,2641
14108,God's Gift,Cole World The Sideline Story,J. Cole,Hip-Hop,2011,217007,320000,,252,231
14109,Keygen (Original Mix),Collection,Martin Garrix,Electronic,2014,298527,320000,,142,130
14110,Talkin' Bout a Revolution,Collection,Tracy Chapman,R&B,2001,160626,320000,,913,562
14111,Sea Shells,Colour The Small One,Sia,Pop,2005,291134,320000,,611,74
14112,I Know One,Come Intro My World Vol. 3,Jim Reeves,Country,2013,126093,192000,,79,37
14113,I Won't Leave You Lonely,Come On Over,Shania Twain,R&B,1997,246439,254934,,895,553
14114,Cool for the Summer (Jump Smokers Remix) [Bonus Track],Confident,Demi Lovato,Pop,2015,265639,320000,,491,420
14115,More Beautiful Than Silence,"Country, God or the Girl (Deluxe Edition)",K'Naan,Hip-Hop,2012,232515,128005,,264,234
14116,Write Off the Debt,Cover Up,UB40,Reggaeton,2002,306468,320000,,945,576
14117,What Is It with You [Bonus Track],Crash My Party,Luke Bryan,Country,2013,240202,320000,,100,44
14118,A Gully Dread,Culture (1970's - 2000),Culture,Reggaeton,1970,212363,160000,,1206,2642
14119,Cleanin' Out My Closet,Curtain Call The Hits,Eminem,Hip-Hop,2005,300278,160000,,213,185
14120,Fire (feat. Young Buck and Nicole Scherzinger),Curtis,50 Cent,Hip-Hop,2007,169586,320000,,181,167
14121,They Said You Needed Me,Dance With My Father,Luther Vandross,R&B,2003,279614,206888,,814,534
14122,"Goodnite, Dr. Death",Danger Days The True Lives Of The Fabulous Killjoys,My Chemical Romance,Rock,2010,127093,192000,,1022,20
14123,Dangerous,Dangerous,Michael Jackson,Pop,1991,418071,320000,,544,443
14124,Crashed (Acoustic),Daughtry,Daughtry,Rock,2006,197381,128000,,986,419
14125,Lullaby,Dedicated,Lemar,R&B,2003,204120,192000,,800,532
14126,Poppin' Them Bottles (ft Mack Maine & Currency),Dedication 2,Lil Wayne,Hip-Hop,2006,235585,128000,,283,238
14127,Do's And Dont's Of Young Money,Dedication 3,Lil Wayne,Hip-Hop,2008,127293,192000,,284,238
14128,"Way Im Ballin ft. Mack Maine, Birdman",Dedication 5,Lil Wayne,Hip-Hop,2013,233430,256000,,285,238
14129,The Eagle And The Hawk,Definitive All Time Greatest Hits,John Denver,Country,2013,128888,192000,,85,38
14130,Lost and Found,Delirium,Ellie Goulding,Pop,2015,216946,320000,,494,104
14131,Baby Eyes,Demolicious,Green Day,Rock,2014,135053,320000,,998,591
14132,Vinyl,Dirty Gold (Deluxe),Angel Haze,Hip-Hop,2013,226690,320000,,188,171
14133,The Worst Part Is Over,"DJ Mebbe presents Vol. 26, September 2010",Fantasia,Slow Jam,2010,197630,256000,,1187,2358
14134,Save The World (Swedish House Mafia & John Martin),DJ Mix 45,David Guetta,Electronic,2011,176117,192000,,134,54
14135,The Only Man Wilder Than Me,Django and Jimmie,Merle Haggard & Willie Nelson,Country,2015,152640,320000,,102,45
14136,Rollin',Double Up,R. Kelly,R&B,2007,290799,128000,,878,549
14137,YMCMB MMG (ft Cory Gunz),Dreamchasers 5,Meek Mill,Hip-Hop,2013,180713,128000,,309,248
14138,I Wish You Well,E=MC²,Mariah Carey,R&B,2008,276477,320000,,823,535
14139,I Didn't Just Come Here To Dance [Bonus Track],E•mo•tion (Japanese Edition),Carly Rae Jepsen,Pop,2015,219951,320000,,485,90
14140,The Best Of My Love,"Eagles, Ultimate Greatest Hits",The Eagles,Country Rock,2013,274155,247897,,1159,49
14141,Last Time (Knife Party Remix),Electronic Earth,Labrinth,Pop,2012,314200,320000,,516,423
14142,Off the Hook (ft Hardwell),Embrace,Armin van Buuren,Electronic,2015,344607,320000,,126,52
14143,Shady Cypher (ft Slaughterhouse & Yelawolf),Eminem,Eminem,Hip-Hop,2015,1129058,320000,,215,185
14144,Punch Out . . . (ft Most Talented & Xun Tsu),Eminem & Friends Game Over Sessions,Eminem,Hip-Hop,2005,228179,205838,,216,185
14145,There He Is (Bobby Creekwater),Eminem Presents The Re-Up,Eminem,Hip-Hop,2006,265064,180065,,217,185
14146,Shake Down (feat. Mary J. Blige and Terrence Howard),Empire Season 1,Empire Cast,Soundtrack,2015,210823,320000,,1218,2658
14147,Year of Our Lord,Enjoy Your Rabbit,Sufjan Stevens,Folk Rock,2001,273029,320000,,400,294
14148,Rhythm Divine (Fernando G Remix),Enrique,Enrique Iglesias,R&B,1999,218544,320000,,757,495
14149,Maybe,Enrique Iglesias Greatest Hits,Enrique Iglesias,R&B,2008,196007,320000,,758,495
14150,Secret Garden,Erotica (Deluxe),Madonna,Pop,1992,332335,320000,,527,441
14151,Hero,Escape,Enrique Iglesias,R&B,2001,259938,320000,,759,495
14152,Homely Girl,Essential,UB40,Reggaeton,2012,203807,244356,,946,576
14153,No Me Digas Que No (Solo),Euphoria,Enrique Iglesias,R&B,2010,247300,192000,,760,495
14154,Can't Be My Lover (Bonus Track),Evolver,John Legend,R&B,2008,273658,171325,,773,525
14155,Lottery,Exclusive The Forever Edition,Chris Brown,R&B,2008,221387,320000,,749,53
14156,Drink Freely (feat. Rico Love),Excuse My French (Deluxe Edition),French Montana,Hip-Hop,2013,248607,248017,,233,203
14157,Warmer Climate [Bonus],Eyes Open [Deluxe Edition],Snow Patrol,Rock,2006,248215,320000,,1048,22
14158,Bomb [Deluxe Edition Bonus Track],F.A.M.E.,Chris Brown,Hip-Hop,2011,215595,256000,,198,53
14159,In The Air Tonight ('88 Remix),Face Value,Phil Collins,R&B,1981,311146,320000,,872,546
14160,Broken Bottles Form a Star (Prelude),Fallen Empires,Snow Patrol,Alternative Rock,2011,90253,320000,,50,22
14161,Your Right,Falling Into You,Celine Dion,R&B,1996,312516,128000,,729,490
14162,I'm So Raw,Fan Of A Fan,Chris Brown & Tyga,Hip-Hop,2010,116636,256000,,200,180
14163,Bunkin' [Bonus Track],Fan of a Fan The Album,Chris Brown & Tyga,Hip-Hop,2015,304559,320000,,201,180
14164,Echo,Fantasy Ride,Ciara,R&B,2009,232734,192000,,752,491
14165,Go Girl (feat. T-Pain) (Bonus),Fantasy Ride,Ciara,R&B,2009,269949,200180,,752,491
14166,Countdown,Favourite R&B 1970-2010,Beyonce,R&B,2000,212558,32006,,1175,415
14167,Tell Me Why,Fearless,Taylor Swift,R&B,2009,201613,320000,,901,79
14168,Keep Hanging On,First Comes the Night (Deluxe Edition),Chris Isaak,Rock,2015,143807,320000,,978,584
14169,Big Love,"Fleetwood Mac, Greatest Hits",Fleetwood Mac,Rock,1980,218932,198749,,1181,590
14170,Hypnotized,"Fleetwood Mac, Mixed",Fleetwood Mac,Rock,1980,288306,128000,,1182,590
14171,Cassie (acoustic),Flyleaf (Special Edition),Flyleaf,Alternative Rock,2007,190625,320000,,26,12
14172,Conversation 1971 6,Fom L.A. to Denver,John Denver,Country,2014,183797,192000,,86,38
14173,The Last Thing On My Mind (Tom Paxton),Fom L.A. to Denver,John Denver,Country,2014,58070,192000,,86,38
14174,Falling Down,For You,Selena Gomez,Pop,2014,183562,320000,,599,62
14175,Time for Miracles,For Your Entertainment,Adam Lambert,Pop,2009,282641,128000,,471,80
14176,Time for Miracles [-],For Your Entertainment,Adam Lambert,Pop,2009,282884,320000,,471,80
14177,Immortale,Forever,Alesso,Electronic,2015,190275,320000,,125,82
14178,As Your Friend (ft Chris Brown),Forget the World,Afrojack,Electronic,2014,292545,320000,,124,50
14179,As Your Friend (feat. Chris Brown),Forget the World (Deluxe Version),Afrojack,Dance,2014,292048,320000,,115,50
14180,Trumpet Lights (feat Sabrina Antoinette),Fortune (Deluxe Version),Chris Brown,R&B,2012,229045,320000,,118,53
14181,Illusion,Four (Deluxe Version),One Direction,Pop,2014,199818,320000,,563,445
14182, Eperderment,Franco Luambo (90's),Franco Luambo,Rhumba,1994,738781,128000,,1196,2437
14183,Eperderment,Franco Luambo Luanzo Makiadi 1990's,Franco Luambo,Rhumba,1994,738778,128000,,1178,2437
14184,White Girl (Ft Jeezy),Free Weezy Album,Lil Wayne,Hip-Hop,2015,283585,320000,,286,238
14185,Clap Again [Bonus Track],Freedom,Akon,R&B,2008,311092,202865,,652,469
14186,Cost Me A Lot,Friday Night Lights,J. Cole,Hip-Hop,2010,198570,320000,,253,231
14187,"A Voice 4rm Heaven, Pt. 2 Michael Jackson",Fuk Wat They Talkin Bout,Tyga,Hip-Hop,2015,41508,320000,,354,279
14188,Turn It Up,Full Frequency,Sean Paul,Reggaeton,2013,233665,320000,,943,574
14189,Come a Little Closer,Full Moon,Brandy,R&B,2002,272352,320000,,699,486
14190,Diamonds & Gold [Bonus Track] (ft Verse Simmonds),Full Speed,Kid Ink,Hip-Hop,2015,205951,320000,,275,215
14191,Diamonds & Gold [Bonus Track] (ft Verse Simmonds),Full Speed,Kid Ink,Hip-Hop,2015,205951,320000,,275,215
14192,So What,Funhouse,Pink,Pop,2008,216552,192000,,575,450
14193,We In This Bitch (ft Future),G.O.O.D Vs. YMCMB,Drake,Hip-Hop,2012,92895,320000,,371,184
14194,We In This Bitch (ft Future),G.O.O.D Vs. YMCMB,Drake,Hip-Hop,2012,92895,320000,,371,184
14195,21 Questions (feat. Nate Dogg),Get Rich or Die Tryin',50 Cent,Hip-Hop,2003,224522,320000,,182,167
14196,Secret Love Song Pt II,Get Weird,Little Mix,Pop,2015,267206,320000,,518,438
14197,Girl On Fire [Main Version],Girl on Fire,Alicia Keys,R&B,2012,224966,253259,,660,470
14198,Meet My Band,Glam Nation Live,Adam Lambert,Pop,2011,168217,128000,,472,80
14199,Everybody Fucks (ft Akon & David Rush),Global Warming,Pitbull,Hip-Hop,2012,257671,320000,,323,143
14200,You're The Inspiration,Glory Of Love,Peter Cetera,R&B,2010,268021,192000,,864,544
14201,Black Boy Fly (Bonus Track),Good Kid M.A.A.D City (Deluxe Edition),Kendrick Lamar,Hip-Hop,2012,279222,250365,,269,236
14202,12 O Clock,Good R&B Mixed   Redmp3.Me,Joe Budden,R&B,2015,234762,192000,,763,501
14203,Saturday Night's Alright for Fighting,Goodbye Yellow Brick Road,Elton John,R&B,1973,296933,267620,,755,494
14204,All Around The World Or The Myth Of Fingerprints [Early Version],Graceland [Bonus Tracks],Paul Simon,Pop,1986,197457,192000,,568,448
14205,Girlfriend,Graffiti,Chris Brown,R&B,2009,248450,320000,,750,53
14206,Around and Around,Greatest Hits,Chuck Berry,Oldies,1984,160855,112000,,1171,1100
14207,(If You're Not In It For Love) I'm Outta Here!,Greatest Hits,Shania Twain,R&B,2004,232922,320000,,896,553
14208,Make This Go On Forever,Greatest Hits,Snow Patrol,Alternative Rock,2013,346044,320000,,51,22
14209,I Promise You,Greatest Hits 1985 95,Michael Bolton,R&B,2009,320192,320000,,838,538
14210,Redford (For Yia-Yia & Pappou),Greetings from Michigan The Great Lake State,Sufjan Stevens,Folk Rock,2003,122096,192000,,401,294
14211,Stuhray,Groove   Volume. 1,Suhnraw,Instrumentals,2012,107990,219623,,408,305
14212,Hanging On (ft Tinie Tempah),Halcyon (Deluxe Edition),Ellie Goulding,Pop,2012,253753,320000,,495,104
14213,I Need Your Love (ft Calvin Harris),Halcyon Days (Deluxe Edition),Ellie Goulding,Pop,2012,237062,320000,,496,104
14214,Ashley Ft Miguel,Hall Of Fame,Big Sean,Hip-Hop,2013,263506,320000,,192,175
14215,4 Minutes (Feat. Justin Timberlak,Hard Candy (Deluxe),Madonna,Pop,2008,278053,320000,,528,441
14216,I Like You (Edit) (ft Lucky Date & Sabrina Signs),"Hardwell Presents Revealed, Vol. 6",Hardwell,Electronic,2015,144162,320000,,137,113
14217,The Late Great Johnny Ace (Original Acoustic Demo),Hearts And Bones (Expanded + Remastered),Paul Simon,Pop,1983,202344,320000,,569,448
14218,Life In The Fast Lane,Hell Freezes Over,The Eagles,Country Rock,1994,363381,128000,,113,49
14219,Cabaret,Hello Louis!,Louis Armstrong,Jazz,1990,165259,160000,,421,383
14220,Commander (Urban Remix) [feat. Ne),Here I Am (Deluxe Edition),Kelly Rowland,R&B,2011,250818,256000,,797,531
14221,"When Did You Stop Loving Me, When Did I Stop Loving You (Reprise)","Here, My Dear",Marvin Gaye,Soul,1978,44538,223890,,1101,675
14222,Little Susie,"HIStory Past, Present and Future, Book I",Michael Jackson,Pop,1995,374028,320000,,546,443
14223,Wanna Be Startin' Something,"HIStory Past, Present and Future, Book I",Michael Jackson,Pop,1995,364408,320000,,546,443
14224,A Groovy Kind of Love,Hits,Phil Collins,R&B,1981,210284,320000,,873,546
14225,Side Effects,Honest,Future,Hip-Hop,2014,242932,160000,,239,221
14226,Don't Let Me Be Misunderstood,Honeymoon,Lana Del Rey,Alternative Rock,2015,245469,64000,,43,17
14227,Burn,Hood Billionaire (Deluxe),Rick Ross,Hip-Hop,2014,314044,320000,,339,253
14228,Under The Gun,Hot Fuss,The Killers,Rock,2004,153391,196643,,1061,286
14229,"Drive Fast, Live Young",Hotel California (Deluxe Edition),Tyga,Hip-Hop,2013,338267,320000,,355,279
14230,In The Woods Somewhere,Hozier,Hozier,Rock,2014,331441,226028,,1215,115
14231,1st & Love,Human,Brandy,R&B,2008,197746,320000,,700,486
14232,Wowzers,I Am Not A Human Being II (Deluxe Edition),Lil Wayne,Hip-Hop,2013,225410,227622,,287,238
14233,Nothing Like L.A,I Am The West,Ice Cube,Hip-Hop,2010,200411,185416,,244,229
14234,Ego [][Remix],I Am...Sasha Fierce [Platinum Edition],Beyonce,Pop,2008,289480,320000,,484,415
14235,Electro Man,I Created Disco,Calvin Harris,Electronic,2007,298631,320000,,131,89
14236,Exhale (Shoop Shoop),I Will Always Love You The Best Of Whitney Houston,Whitney Houston,R&B,2012,203284,257288,,940,573
14237,You Can't Make This Up,If I'm Honest,Blake Shelton,Country,2016,210860,320000,,1199,2577
14238,Company (feat. Travi$ Scott),If You're Reading This It's Too Late,Drake,Hip-Hop,2015,255235,320000,,205,184
14239,A Conjunction Of Drones Simulating The Way In Which Sufjan Stevens Has An Existential Crisis In The Great Godfrey Maze,Illinoise,Sufjan Stevens,Folk Rock,2005,3432,2008394,,402,294
14240,Fingers,I'm Not Dead,Pink,Pop,2006,222458,320000,,576,450
14241,Tyrant (Bonus Track),Immortalized,Disturbed,Hard Rock,2015,228482,192000,,155,158
14242,Hurt Before,In Blue,The Corrs,Soul,2000,245106,225295,,1108,710
14243,They Know Ft Shawty Lo,In The Carter Chronicles (Bootleg),Lil Wayne,Hip-Hop,2008,133433,135686,,288,238
14244,Make It To Me,In The Lonely Hour (Deluxe Edition),Sam Smith,R&B,2014,163500,320000,,893,552
14245,Make It To Me,In The Lonely Hour (Deluxe Edition),Sam Smith,R&B,2014,163500,320000,,893,552
14246,Chaos Reigns,In Waves,Trivium,Metal,2011,247693,303136,,433,393
14247,Alguien Soy Yo,Insomniac,Enrique Iglesias,R&B,2007,239900,320000,,761,495
14248,The Lost Children,Invincible,Michael Jackson,Pop,2001,240699,320000,,547,443
14249,I Remember (Feat. Young Jeezy And Future),Jesus Piece (Deluxe Edition),The Game,Hip-Hop,2012,281887,320000,,348,275
14250,Is It Really Over (Tammy Wynette),Jim Reeves    151 200 Archive.Org,Jim Reeves,Country,1950,132022,320000,,80,37
14251,How Many,Jim Reeves 0,Jim Reeves,Country,1950,157161,192000,,81,37
14252,GirlsI Have Known Side Two,Jim Reeves 201 265 Archive.Org,Jim Reeves,Country,1950,897044,320000,,82,37
14253,Swap It Out,Journals,Justin Bieber,R&B,2013,241680,320000,,789,435
14254,Comptons Finest (Feat. H.O.P.E.),Kendrication,Kendrick Lamar,Hip-Hop,2013,163160,215788,,271,236
14255,Warning Shot,Kendrick Lamar Unreleased,Kendrick Lamar,Hip-Hop,2012,232425,192000,,272,236
14256,Ruby - Don't Take Your Love to Town,Kenny Rogers Mixed (Archive.org),Kenny Rogers,Country,1985,170031,320000,,91,40
14257,Scream (ft Janet Jackson),King of Pop,Michael Jackson,Pop,2008,282723,219549,,548,443
14258,Volta Pa Mi,Kizomba All Stars 2013,Neuza,Kizomba,2013,285648,230837,,1169,2289
14259,Jungle Bash,Knock Madness,Hopsin,Hip-Hop,2013,240678,256000,,243,228
14260,Rush,Konvicted,Akon,R&B,2006,254537,165072,,655,469
14261,Shadow Of Her Mind,Kristofferson,Kris Kristofferson,Country,1971,201342,96000,,98,42
14262,That's My Desire,L. Armstrong And His All-Stars band,Louis Armstrong,Jazz,1962,275740,160000,,422,383
14263,Impossible Love,Labour of Love II,UB40,Reggaeton,1989,312215,320000,,951,576
14264,Baby Why,Labour of Love IV,UB40,Reggaeton,2010,215208,320000,,952,576
14265,Half Naked & Almost Famous,Lace Up (Deluxe Edition),Machine Gun Kelly,Hip-Hop,2012,171049,320000,,303,244
14266,I Know (ft Chris Brown & Wiz Khalifa & Seven of Rich Girl),Last Train To Paris,Diddy Dirty Money,Hip-Hop,2010,271568,194625,,202,181
14267,Latin jazz Track14,Latin Jazz,Latin jazz,Jazz,1970,185719,128000,,1165,2200
14268,Midnight Run,Lawless,Willie Nelson,Soundtrack,2012,158040,320000,,1109,401
14269,Un Amour Pour Moi,Les Premieres Annees,Celine Dion,R&B,1993,201442,160000,,733,490
14270,I Love You Secretly (The Miracles Version),Let's Get It On,Marvin Gaye,Soul,1973,258925,254832,,1102,675
14271,You Are That Special One,Let's Get It On,Marvin Gaye,Soul,1973,218070,256600,,1102,675
14272,To Love You More,Let's Talk About Love,Celine Dion,R&B,1997,328698,320000,,734,490
14273,Bygones,Level II,Blackstreet,R&B,2003,261734,320000,,690,482
14274,Billie Jean,Live at Wembley 7.16.1988,Michael Jackson,Pop,2012,516127,237142,,549,443
14275,Spaceman,Live From The Royal Albert Hall,The Killers,Rock,2009,394814,205678,,1062,286
14276,Vole,Live In Paris,Celine Dion,R&B,1996,243576,160000,,735,490
14277,Something To Be,"Live in Vancouver, 2009.10.14",Rob Thomas,Rock,2009,263235,157364,,1041,602
14278,Wavy,Lock Out,Waka Flocka & French Montana,Hip-Hop,2011,157926,320000,,360,280
14279,"Ghetto Symphony (Feat. Gunplay, ASAP Ferg) (Bonus Track)",LONG LIVE A$AP,A$ap Rocky,Hip-Hop,2013,238124,320000,,185,169
14280,You & I (Nobody In The World),Love in the Future (Deluxe Edition),John Legend,R&B,2013,252708,320000,,775,525
14281,Priceless (Produced By Los Da Mystro & The Dream) (Bonus Track),Love King,The Dream,R&B,2010,364224,320000,,903,557
14282,How Do I Tell Her,Love Letter,R. Kelly,R&B,2010,261434,320000,,879,549
14283,Can't Help Falling in Love,Love Songs,Kenny Rogers,Country,1997,202582,320000,,92,40
14284,All Of Me (Live),Love Songs,Louis Armstrong,Jazz,1990,252093,160000,,424,383
14285,Breakfast in Bed,Love Songs,UB40,Reggaeton,2009,196571,320000,,954,576
14286,Po Nigga Blues (Scott Storch Remix),Loyal To The Game,2Pac,Hip-Hop,2004,219123,320000,,170,166
14287,Ciroc & Simply Lemonade Ft. Yo Gotti,M.O. (Deluxe Edition),Nelly,Hip-Hop,2013,208680,320000,,315,259
14288,Ciroc & Simply Lemonade Ft. Yo Gotti,M.O. (Deluxe Edition),Nelly,Hip-Hop,2013,208680,320000,,315,259
14289,Diamonds f. J. Cole  Rick Ross (prod. Swizz Beatz),Mac & Cheese 3,French Montana,Hip-Hop,2012,254415,320000,,234,203
14290,Jay Z Blue,Magna Carta Holy Grail,Jay-Z,Hip-Hop,2013,232589,320000,,260,232
14291,Tacoma,Man Against Machine,Garth Brooks,Country,2014,227030,184862,,75,34
14292,Do What U Gotta,Manifesto,Inspectah Deck,Hip-Hop,2010,193828,192000,,246,230
14293,Just Fine,Mary J. Blige's Greatest Hits,Mary J. Blige,R&B,2010,238065,160000,,835,537
14294,Just A Lil Bit,Massacre,50 Cent,Hip-Hop,2005,237792,320000,,183,167
14295,Sanctified (Feat. Kanye West & Big Sean),Mastermind (Deluxe Edition),Rick Ross,Hip-Hop,2014,289071,320000,,340,253
14296,Know It Ain't Right,Matangi,M.I.A.,Hip-Hop,2013,222240,320000,,308,247
14297,I Fucked Up,Mdna (Deluxe),Madonna,Pop,2012,209324,320000,,532,441
14298,Death Around The Corner,Me Against The World,2Pac,Hip-Hop,1995,247226,320000,,171,166
14299,Heavenly (No Ways TiredCan't Give Up Now),Me. I Am Mariah. . . The Elusive Chanteuse,Mariah Carey,R&B,2014,339917,320000,,826,535
14300,Lovestruck,Meet the Vamps (Deluxe Version),The Vamps,Pop,2014,222820,320000,,640,461
14301,Knights Of Shame,Megalithic Symphony (Deluxe),Awolnation,Alternative Rock,2013,896052,320000,,12,7
14302,Sail (Borgore Pop The Sweating I'm Sailing Remix),Megalithic Symphony (Deluxe),Awolnation,Alternative Rock,2013,278047,320000,,12,7
14303,Arise,Memento Mori,Flyleaf,Alternative Rock,2009,266638,320000,,27,12
14304,Angel (The Prelude),Memoirs of an Imperfect Angel,Mariah Carey,R&B,2009,65077,320000,,827,535
14305,Message In A Bottle (new ),Message In A Bottle,The Police,Rock,1998,295616,128000,,1065,460
14306,High Voltage (Remix),Meteora,Linkin Park,Rock,2003,224949,192000,,1016,156
14307,Actin' Up,Mh,Marques Houston,R&B,2003,205035,192000,,833,536
14308,Actin' Up,Mh,Marques Houston,R&B,2003,205035,192000,,833,536
14309,Better Than Words,Midnight Memories (Deluxe),One Direction,Pop,2013,212481,320000,,565,445
14310,Never Can Say Goodbye,Miss Thang,Monica,R&B,1995,305844,128000,,849,541
14311,Bury Me A G,"MMG Presents Self Made, Vol. 2",Rick Ross,Hip-Hop,2012,233064,320000,,312,253
14312,Agua Santa,"Mojito Passion, Best Of Salsa & Latin Music",Ray Sepulveda,Salsa,2006,251413,192000,,1185,2451
14313,Nice To Know You,Monuments And Melodies,Incubus,Alternative Rock,2009,284005,192000,,32,15
14314,Hollywood,Moon Landing,James Blunt,R&B,2012,205314,320000,,767,521
14315,Country Nation,Moonshine in the Trunk,Brad Paisley,Country,2014,225488,320000,,62,30
14316,Ididntreallymeantoturnuout,More Than Words,Brian McKnight,R&B,2013,190377,320000,,713,487
14317,Burnin' (ft R3hab),Motion,Calvin Harris,Electronic,2014,232907,320000,,132,89
14318,1. 1_5-Illusionofchoice. Mp3,Mr. Robot Season 1 Vol. 1,Mac Quayle,Soundtrack,2016,244098,320000,,1219,2668
14319,1. 8_1-Imcrazy. Aiff,Mr. Robot Season 1 Vol. 2,Mac Quayle,Soundtrack,2016,315987,320000,,1220,2668
14320,The Sweetest Thing(Remix),Ms Hill,Lauryn Hill,Hip-Hop,2008,258977,110541,,279,237
14321,Is It Raining at Your House,Mud on the Tires,Brad Paisley,Country,2003,243780,192000,,63,30
14322,We've Got Forever,Music & Me,Michael Jackson,Pop,1973,190772,320000,,551,443
14323,Asante Sana Baba,Mwanzo,Sauti Sol,Swahili,2008,331712,192000,,1193,2522
14324,Sorry Momma (ft Ty Dolla $ign),My Krazy Life (Deluxe Version),YG,Hip-Hop,2014,306400,320000,,370,283
14325,Wa Salaam (Interlude),My Life Is A Movie,K'Naan,Hip-Hop,2004,265038,320000,,265,234
14326,Star Player [Bonus Track],My Own Lane,Kid Ink,Hip-Hop,2014,225541,320000,,276,215
14327,Star Player [Bonus Track],My Own Lane,Kid Ink,Hip-Hop,2014,225541,320000,,276,215
14328,Up with the Birds,Mylo Xyloto,Coldplay,Alternative Rock,2011,227866,244733,,18,10
14329,Do You Remember,Nathan Michael Shawn Wanya,Boyz II Men,R&B,2000,257358,320000,,696,485
14330,Comment T'aimer,Ne Partez Pas Sans Moi,Celine Dion,R&B,1996,240442,160000,,738,490
14331,Sucka For You,Neon,Jay Sean,Pop,2013,186475,320000,,508,433
14332,We Still Love,Never Been Better (Deluxe Edition),Olly Murs,Pop,2014,195813,320000,,562,139
14333,One Voice,Never Say Never,Brandy,R&B,1998,249307,320000,,701,486
14334,In 3D [Deluxe Edition Bonus Track],New Life,Monica,R&B,2012,240629,192000,,850,541
14335,My Fault,Night Visions (Deluxe Version),Imagine Dragons,Rock,2013,177266,320000,,1003,116
14336,I Won't Tell a Soul,Nine Track Mind,Charlie Puth,R&B,2015,188017,128000,,744,93
14337,Poke Her Face (Feat Jae Millz),No Ceilings,Lil Wayne,Hip-Hop,2009,139106,256000,,289,238
14338,Big Wings,No Ceilings 2,Lil Wayne,Hip-Hop,2015,217187,320000,,290,238
14339,ReligiousRachet Wit Yo Friends,Non-Fiction,Ne-Yo,R&B,2015,244634,320000,,857,543
14340,Lunar (David Guetta & Afrojack),Nothing But the Beat,David Guetta,House,2011,316891,252853,,378,54
14341,Come Thru,Nothing Was The Same,Drake,Hip-Hop,2013,236529,320000,,206,184
