id,title,album,artist_name,genre,year,length,bitrate,lyrics,album_id,artist_id
2975,Baby Momma Skit,Mac & Cheese 3,French Montana,Hip-Hop,2012,36271,320000,,234,203
2976,"You Can Put It In A Zag, Imma Put It In A Blunt",Mac And Devin Go To High School (OST),Snoop Dogg & Wiz Khalifa,Hip-Hop,2011,199497,241953,,344,272
2977,"You Can Put It In A Zag, Imma Put It In A Blunt",Mac And Devin Go To High School (OST),Snoop Dogg & Wiz Khalifa,Hip-Hop,2011,199497,241953,,1210,272
2978,Burning Up,Madonna,Madonna,Pop,1983,225415,320000,,531,441
2979,Tom Ford,Magna Carta Holy Grail,Jay-Z,Hip-Hop,2013,191638,320000,,260,232
2980,Somebody That I Used to Know (ft Kimbra),Making Mirrors,Gotye,Pop,2011,244950,320000,,501,427
2981,Cold Like That,Man Against Machine,Garth Brooks,Country,2014,305580,187394,,75,34
2982,Man Plans God Laughs,Man Plans God Laughs,Public Enemy,Hip-Hop,2015,124133,320000,,329,262
2983,Born Survivor (Ft Cormega),Manifesto,Inspectah Deck,Hip-Hop,2010,196310,192000,,246,230
2984,Sweet Thang,Mary J. Blige's Greatest Hits,Mary J. Blige,R&B,2010,220067,160000,,835,537
2985,This Is 50,Massacre,50 Cent,Hip-Hop,2005,184293,320000,,183,167
2986,Drug Dealer Dreams,Mastermind (Deluxe Edition),Rick Ross,Hip-Hop,2014,242050,320000,,340,253
2987,Only 1 U,Matangi,M.I.A.,Hip-Hop,2013,192600,320000,,308,247
2988,Revenge (ft Nicki Minaj),Mathers Massacre,Eminem,Hip-Hop,2013,275544,320000,,218,185
2989,Khal Ataslo,Mazyoon,Shatha Hassoun,Hindi,2016,267010,320000,,161,164
2990,Khal Ataslo,Mazyoon,Shatha Hassoun,Hindi,2016,267010,320000,,161,164
2991,I_M Addicted,Mdna (Deluxe),Madonna,Pop,2012,273559,320000,,532,441
2992,Me Against The World,Me Against The World,2Pac,Hip-Hop,1995,281159,320000,,171,166
2993,Dedicated,Me. I Am Mariah. . . The Elusive Chanteuse,Mariah Carey,R&B,2014,258605,320000,,826,535
2994,Don't Matter,Mechanical Bull,Kings Of Leon,Rock,2013,170344,320000,,1007,593
2995,Somebody To You,Meet the Vamps (Deluxe Version),The Vamps,Pop,2014,186045,320000,,640,461
2996,Everybody's Got A Secret,Megalithic Symphony (Deluxe),Awolnation,Alternative Rock,2013,222040,320000,,12,7
2997,Soul Wars,Megalithic Symphony (Deluxe),Awolnation,Alternative Rock,2013,217051,320000,,12,7
2998,Un Amour Pour Moi,Melanie,Celine Dion,R&B,1984,201465,192000,,737,490
2999,Chasm,Memento Mori,Flyleaf,Alternative Rock,2009,181922,320000,,27,12
3000,H. A. T. E. U.,Memoirs of an Imperfect Angel,Mariah Carey,R&B,2009,268545,320000,,827,535
3001,Obsessed [Jump Smokers Radio Edit],Memoirs of an Imperfect Angel,Mariah Carey,R&B,2009,200601,320000,,827,535
3002,O Holy Night,Merry Christmas,Mariah Carey,R&B,1994,267650,320000,,828,535
3003,O Little Town of BethlehemLittle Drummer Boy,Merry Christmas II You,Mariah Carey,R&B,2010,213804,320000,,829,535
3004,Message In A Bottle,Message In A Bottle,The Police,Rock,1998,291410,128000,,1065,460
3005,Somewhere I Belong,Meteora,Linkin Park,Rock,2003,213983,128000,,1016,156
3006,Revenga,Mezmerize,System Of A Down,Rock,2005,228167,128000,,1053,607
3007,Pop That Booty (Ft Jermaine Dupri),Mh,Marques Houston,R&B,2003,246334,192000,,833,536
3008,Pop That Booty (Ft Jermaine Dupri),Mh,Marques Houston,R&B,2003,246334,192000,,833,536
3009,Keep Your Head Up,Michael,Michael Jackson,Pop,2010,291552,208338,,550,443
3010,Take Me To Your Heart,Michael Learns To Rock,MLTR,R&B,1991,239137,128000,,845,540
3011,Your Girl,Midnight,Grace Potter,Pop,2015,218827,320000,,502,428
3012,Diana,Midnight Memories (Deluxe),One Direction,Pop,2013,188474,320000,,565,445
3013,Show Me The Meaning Of Being Lonely,Millenium,Backstreet Boys,R&B,1999,236956,128000,,682,478
3014,Leave Out All The Rest,Minutes To Midnight,Linkin Park,Rock,2007,211502,128000,,1017,156
3015,Like This and Like That,Miss Thang,Monica,R&B,1995,285495,128000,,849,541
3016,This Thing Of Ours (ft Omarion),"MMG Presents Self Made, Vol. 2",Wale,Hip-Hop,2012,249051,320000,,312,252
3017,Step,Modern Vampires Of The City,Vampire Weekend,Pop,2013,253058,320000,,643,464
3018,La Familia Andre Echavarria,"Mojito Passion, Best Of Salsa & Latin Music",Fernando,Salsa,2006,229366,192000,,1185,2442
3019,Megalomaniac,Monuments And Melodies,Incubus,Alternative Rock,2009,294960,192000,,32,15
3020,Bonfire Heart,Moon Landing,James Blunt,R&B,2012,241442,320000,,767,521
3021,Perfect Storm,Moonshine in the Trunk,Brad Paisley,Country,2014,234893,320000,,62,30
3022,Ruffneck (FULL Flex),More Monsters and Sprites,Skrillex,Electronic,2011,226351,320000,,145,153
3023,4th Of July,More Than Words,Brian McKnight,R&B,2013,248552,320000,,713,487
3024,Blame (ft John Newman),Motion,Calvin Harris,Electronic,2014,214517,320000,,132,89
3025,Chattanooga Lucy,Mr. Misunderstood,Eric Church,Country,2015,203493,320000,,73,33
3026,1. 0_3-Fucksociety. Mp3,Mr. Robot Season 1 Vol. 1,Mac Quayle,Soundtrack,2016,134279,320000,,1219,2668
3027,1. 5_3-Trustyourself. Bwf,Mr. Robot Season 1 Vol. 2,Mac Quayle,Soundtrack,2016,215155,320000,,1220,2668
3028,SO HIGH (REMIX),Ms Hill,Lauryn Hill,Hip-Hop,2008,226873,171386,,279,237
3029,Ain't Nothin' Like,Mud on the Tires,Brad Paisley,Country,2003,218154,192000,,63,30
3030,How We Do It,Muki Garang,Mwafrika,Hip-Hop,2006,208000,128000,,314,258
3031,Runaway Lover,Music,Madonna,Pop,2000,287326,320000,,533,441
3032,Shoo-Be-Doo-Be-Doo-Da-Day,Music & Me,Michael Jackson,Pop,1973,194586,320000,,551,443
3033,Anytime You Need a Friend,Music Box,Mariah Carey,R&B,1993,266872,320000,,830,535
3034,If It's Lovin' That You Want,Music Of The Sun,Rihanna,R&B,2005,208195,320000,,885,452
3035,Mafunzo Ya Dunia,Mwanzo,Sauti Sol,Swahili,2008,255800,192000,,1193,2522
3036,Mountain Sound,My Head Is an Animal,Of Monsters and Men,Indie Folk,2012,211617,320000,,386,289
3037,I Just Wanna Party (ft ScHoolboy Q & Jay Rock),My Krazy Life (Deluxe Version),YG,Hip-Hop,2014,212780,320000,,370,283
3038,Voices At The Crossroads,My Life Is A Movie,K'Naan,Hip-Hop,2004,209031,320000,,265,234
3039,Sweet Serenade,My Name Is My Name,Pusha T,Hip-Hop,2013,224993,64000,,332,266
3040,Show Me (ft Chris Brown),My Own Lane,Kid Ink,Hip-Hop,2014,218070,320000,,276,215
3041,Show Me (ft Chris Brown),My Own Lane,Kid Ink,Hip-Hop,2014,218070,320000,,276,215
3042,King's Lament,My Rare,Tale Of Desperaux,Custom,2014,53054,320000,,1160,2122
3043,Down To Earth,My World,Justin Bieber,R&B,2009,245838,320000,,790,435
3044,Stuck in the Moment,My World 2. 0,Justin Bieber,R&B,2010,223007,184596,,791,435
3045,One Less Lonely Girl,My Worlds Acoustic,Justin Bieber,Pop,2010,237871,202997,,511,435
3046,Paradise,Mylo Xyloto,Coldplay,Alternative Rock,2011,277655,252563,,18,10
3047,Marriage,Naked,Marques Houston,R&B,2005,254406,192000,,834,536
3048,Marriage,Naked,Marques Houston,R&B,2005,254406,192000,,834,536
3049,Good Guy,Nathan Michael Shawn Wanya,Boyz II Men,R&B,2000,229590,320000,,696,485
3050,Visa Pour Les Beaux Jours,Ne Partez Pas Sans Moi,Celine Dion,R&B,1996,205595,160000,,738,490
3051,American Honey,Need You Now (2010),Lady Antebellum,Country,2010,224940,320000,,99,43
3052,Words,Neon,Jay Sean,Pop,2013,269806,320000,,508,433
3053,Beautiful to Me,Never Been Better (Deluxe Edition),Olly Murs,Pop,2014,245577,320000,,562,139
3054,Crawling Back to You,Never Gone,Backstreet Boys,R&B,2005,223190,320000,,683,478
3055,The Boy Is Mine (ft Monica),Never Say Never,Brandy,R&B,1998,295832,320000,,701,486
3056,Dust  (ft Noonie Bao),New Eyes,Clean Bandit,Rock,2014,269713,256000,,979,585
3057,Daddy's Good Girl,New Life,Monica,R&B,2012,284836,192000,,850,541
3058,Kiveti Kiseo,Ngoleni Brothers,Ngoleni Brothers,Mtwekyo,1978,246349,128000,,1170,2293
3059,It's Time,Night Visions (Deluxe Version),Imagine Dragons,Rock,2013,240378,320000,,1003,116
